Fish Prize List 2021,,
Place,Prize,
1,   1st Place Trophy & Scheels Cooler,
2,Eskimo Sting Ray 33cc 8 Inch Auger,
3,Eskimo QuickFish 6,
4,Barronett Grounder 350 Bloodtrail Hunting Blind,
5,$50 Scheels Gift Card,
6,Eskimo Quickfish 3,
7,River's Edge Big Foot Lite Foot,
8,$50 Mega/Holiday Gift Card,
9,Jaw Jacker,
10,$50 Scheels Gift Card,
11,   Marcum Underwater Camera System,
12,   Ice Armor Clam Jacket - XL,
13,Wildgame Innovations Mirage Game Camera,
14,Eskimo 6 Inch Hand Auger,
15,$50 Scheels Gift Card,
16,   $50 Mega/Holiday Gift Card,
17,ION R1 8 Inch Ice Auger,
18,Barronett Radar Backwoods Hunting Blind,
19,River's Edge Big Foot XL Classic Hang-On Stand,
20,$50 Scheels Gift Card,
30,Beaver Dam Bucket,
40,Eskimo Pistol Bit 6 inch Auger,
50,*$500 Cash,
60,   $50 Mega/Holiday Gift Card,
70,$50 Scheels Gift Card,
80,River's Edge 360 Deluxe Swivel Chair,
90,   Tip Down Orange & Frabill Bucket,
100,   BlueTipz Transmitter,
110,   River's Edge Ground Gobbler Chair & R-Tek Claw Tip Up,
120,$50 Scheels Gift Card,
130,Eskimo 8 Inch Hand Auger,
140,   $50 Mega/Holiday Gift Card,
150,Barronett Radar Backwoods Hunting Blind,
160,Eskimo 6 Inch Hand Auger,
170,$50 Scheels Gift Card,
180,Eskimo Quickfish 3,
190,   Mitchell Reel + Tacklebag Tote System,
200,   Abu Garcia ORRA S,
210,River's Edge 18FT 2-Man Ladder Stand,
220,$50 Scheels Gift Card,
230,Sienna Ice Combo & $25 Scheels Gift Card,
240,   $50 Mega/Holiday Gift Card,
250,*$1000 Cash,
260,Barronett Prowler 300 Bloodtrail Hunting Blind,
270,$50 Scheels Gift Card,
280,   Vortex Crossfire Binoculars - 10x50,
290,Eskimo Quickfish 3,
300,River's Edge Deluxe 2-Man Ladder Stand,
310,   $50 Mega/Holiday Gift Card,
320,$50 Scheels Gift Card,
330,   Barronett Grounder 250 Bloodtrail Hunting Blind,
340,Eskimo 8 Inch Hand Auger,
350,GPS ETREX 10,
360,   Mitchell Reel + Tacklebag Tote System,
370,$50 Scheels Gift Card,
380,Eskimo Pistol Bit 8 inch Auger,
390,   $50 Mega/Holiday Gift Card,
400,   Tip Down Blue & Frabill Bucket,
410,Eskimo QuickFlip 1-Man Shelter,
420,$50 Scheels Gift Card,
430,   13 Fishing Combo & Eskimo Plaid Folding Chair,
440,   River's Edge Relax Big Blind Chair & Dangler,
450,*$500 Cash,
460,River's Edge Big Foot XC Hang-On Stand,
470,$50 Scheels Gift Card,
480,   $50 Mega/Holiday Gift Card,
481,Scheels Tournament Fishing Combo & Eskimo Plaid Folding Chair,
482,Eskimo 6 Inch Hand Auger,
483,Eskimo Sierra Quickflip 2-Man Shelter ,
484,$50 Scheels Gift Card,
485,   Barronett Prowler 300 Bloodtrail Hunting Blind ,
486,Wildgame Innovations Mirage Game Camera,
487,River's Edge Big Foot XL Classic Hang-On Stand,
488,   $50 Mega/Holiday Gift Card,
489,$50 Scheels Gift Card,
490,Eskimo Mako 43cc 8 Inch Auger,
491,   $50 Mega/Holiday Gift Card,
492,Genz Pack FL 8SE Flasher System,
493,   Scheels Rectangular Bag & Dangler,
494,$50 Scheels Gift Card,
495,River's Edge Big Foot Traveler Hang-On Stand,
496,   $50 Mega/Holiday Gift Card,
497,   BlueTipz Transmitter,
498,   Rapala Electric Knife ,
499,$50 Scheels Gift Card,
500,   Eskimo F1 Rocket Auger,
